id_grafico,nombre_archivo
1,piramide_poblacional_1869_2022.csv
2,mediana_edad_argentina.csv
3,mediana_edad_comparativo.csv
4,poblacion_grupos_etarios.csv
5,tasa_dependencia_demografica.csv
7,tasa_global_fecundidad_argentina.csv
8,tasa_global_fecundidad_paises.csv
9,tasa_global_fecundidad_provincias.csv
10,tasa_fecundidad_adolescente_paises.csv
11,expectativa_vida_al_nacer_argentina.csv
12,expectativa_vida_al_nacer_paises.csv
13,tasa_mortalidad_infantil_probabilidad_de_sobrevivir.csv
14,tasa_migracion_neta.csv
15,tasa_migracion_neta_paises.csv
16,poblacion_arg_largo_plazo.csv
17,tasa_crecimiento_componentes.csv
18,tamanio_medio_hogares.csv
19,edad_media_maternidad.csv
20,ninios_en_edad_inicial_primaria.csv
21,poblacion_edad_jubilatoria.csv
22,poblacion_por_grupo_edad_perspectiva.csv
23,tasa_dependencia_demografica_perspectiva.csv
